Date,Open,High,Low,Close,ZigZag,Return_rate,RSI_7,RSI_14,MA_7,MA_14
18.01.2000,1.0111,1.0155,1.0072,1.014,1,1.002768987341772,36.10622065676962,41.847380510645905,1.0197142857142858,1.0243071428571429
19.01.2000,1.0141,1.0165,1.0085,1.0117,1,0.9977317554240631,32.411298920104656,39.10020055139265,1.0167857142857144,1.0232714285714286
20.01.2000,1.0116,1.0188,1.0073,1.0169,1,1.0051398635959274,46.777469758082475,47.49282309651956,1.0147,1.022392857142857
21.01.2000,1.0166,1.0193,1.005,1.0087,1,0.9919362769200512,33.627629468233295,38.485862800748066,1.0125142857142857,1.0207071428571428
23.01.2000,1.0028,1.0045,1.0026,1.0043,1,0.9956379498364232,28.595349703328154,34.68473753236273,1.0113857142857143,1.0188357142857143
24.01.2000,1.0043,1.0077,0.9997,1.0057,1,1.001394005775167,32.35318733604022,36.822852295449415,1.0103571428571427,1.0171142857142856
25.01.2000,1.0063,1.0096,0.9992,1.0014,1,0.9957243710848166,27.22000267473352,33.22527582519446,1.0089571428571429,1.0151928571428572
26.01.2000,1.0012,1.0055,0.9989,0.9999,1,0.9985020970641102,25.56898080645294,32.048985874536044,1.0069428571428571,1.0133285714285714
27.01.2000,0.9997,1.003,0.9868,0.987,1,0.987098709870987,15.895481692837024,24.13526129711022,1.0034142857142856,1.0101
28.01.2000,0.9873,0.9892,0.9736,0.9749,1,0.98774062816616,11.241407366452194,19.317032725416368,0.9974142857142857,1.0060571428571428
30.01.2000,0.9773,0.9804,0.9772,0.9796,1,1.0048210072827983,21.638705572039186,25.535480034768554,0.9932571428571428,1.0028857142857144
31.01.2000,0.9796,0.9829,0.9667,0.9705,0,0.990710494079216,17.11101953551382,21.999981719548657,0.9884285714285715,0.999907142857143
01.02.2000,0.9707,0.9782,0.9667,0.9717,0,1.0012364760432766,19.696066791931074,23.504056912854665,0.9835714285714285,0.9969642857142859
02.02.2000,0.9718,0.9808,0.9694,0.9766,0,1.0050427086549347,30.08359886765612,29.483555505749806,0.9800285714285714,0.9944928571428572
03.02.2000,0.9767,0.9947,0.971,0.9891,0,1.0127995084988737,49.51805406763092,41.949636037729384,0.9784857142857143,0.9927142857142857
04.02.2000,0.989,0.994,0.9747,0.984,0,0.9948437973915681,43.731798679743065,38.92603467024503,0.9780571428571428,0.9907357142857143
06.02.2000,0.9832,0.9832,0.9817,0.9818,0,0.9977642276422765,41.3028763894556,37.66487505568662,0.9790428571428571,0.9882285714285715
07.02.2000,0.9817,0.9827,0.9754,0.9809,0,0.9990833163577103,40.236278538167085,37.13482632468518,0.9792285714285713,0.9862428571428572
08.02.2000,0.9807,0.9914,0.9786,0.9875,0,1.006728514629422,51.05094101544683,43.42274935198354,0.9816571428571429,0.9850428571428571
09.02.2000,0.9873,0.9971,0.9866,0.9931,0,1.0056708860759493,58.4871090727901,48.16064469967457,0.9847142857142858,0.9841428571428572
10.02.2000,0.9932,0.9962,0.9831,0.9863,0,0.993152754002618,48.12902192805986,43.40717513980736,0.9861000000000001,0.9830642857142857
11.02.2000,0.9861,0.9886,0.9786,0.9884,0,1.0021291696238468,51.24029174083841,45.205830031393255,0.986,0.9822428571428572
